Item No,Item Description,Seller,Quantity,Amount INR,Amount USD
1,Balsa Sheets 2mm 1000x1000mm (5 sheets),Vortex RC,1,1250.0,15.24
2,Balsa Sheets 4mm 1000x1000mm (5 sheets),Vortex RC,1,1699.0,20.72
3,AeroFly Light Plywood 3mm 12x36 inch,Vortex RC,2,1100.0,13.41
4,Balsa Sheets 3mm 1000x1000mm (5 sheets),Vortex RC,1,1450.0,17.68
5,Basswood Sticks 5x5x400mm (100 pcs),Vortex RC,1,625.0,7.62
6,Birch Wood Dowels 3mm x 1000mm (5 pcs),Vortex RC,1,650.0,7.93
7,Steel Pins 3mm unthreaded,Vortex RC,1,225.0,2.74
8,Packaging Charge,Vortex RC,1,150.0,1.83
9,Shipping Charge,Vortex RC,1,750.0,9.15
10,Hobbywing SkyWalker 2312SL 1400KV Brushless Motor,Robu.in,2,4716.99,57.52
11,Pro-Range 8046 3-Blade Propellers (1CW+1CCW),Robu.in,1,323.21,3.94
12,40A 2-6S Brushless ESC 3.5mm Connector,Robu.in,2,1632.34,19.91
13,Shipping BlueDart Air,Robu.in,1,41.53,0.51
14,SpeedyBee F405 WING APP Flight Controller,Robu.in,1,4181.0,50.99
15,RadioMaster ER6 2.4GHz ELRS PWM Receiver,DRK Store,1,2699.0,32.91
16,FPV NEO-M8N GPS with Compass,Robu.in,1,2199.0,26.82
17,Pro-Range 11.1V 3300mAh 35C 3S LiPo Battery,Robu.in,1,2371.0,28.91
TOTAL,,,,25212.07,307.46
